domain,kind,name,value,ns_const
data_items,id,DataItemType_Unlock,347,SCADA
data_items,id,DataItemType_WriteManual,230,SCADA
data_items,id,Statistics_ServerCPUUsage,226,SCADA
data_items,id,Statistics_ServerMemoryUsage,227,SCADA
data_items,id,Statistics_TotalCPUUsage,228,SCADA
data_items,id,Statistics_TotalMemoryUsage,229,SCADA
data_items,numeric_id,SimulationSignals,28,SCADA
data_items,numeric_id,TsFormats,27,SCADA
devices,id,DeviceType_Interrogate,133,SCADA
devices,id,DeviceType_InterrogateChannel,135,SCADA
devices,id,DeviceType_Select,137,SCADA
devices,id,DeviceType_SyncClock,134,SCADA
devices,id,DeviceType_Write,136,SCADA
devices,id,DeviceType_WriteParam,138,SCADA
devices,id,HasTransmissionItem,339,SCADA
devices,numeric_id,Iec60870DeviceType_InterrogationPeriodGroup1,200,SCADA
history,id,SystemDatabase,233,SCADA
history,numeric_id,HistoricalDatabases,12,SCADA
scada,id,HasParentReferenceType,340,SCADA
scada,id,NextId,352,SCADA
security,id,RootUser,234,SCADA
security,id,UserType_ChangePassword,334,SCADA
security,numeric_id,Configurations,362,SCADA
security,numeric_id,Users,29,SCADA
