index,const_name,db_name,row_type,config_group,group_kind
0,NS0,NS0,,,
1,TS,TS,DiscreteItemType,data_items,dedicated
2,TIT,TIT,AnalogItemType,data_items,dedicated
3,MODBUS_DEVICES,MODBUS_DEVICES,ModbusDeviceType,modbus,device
4,GROUP,GROUP,DataGroupType,data_items,dedicated
5,USER,USER,UserType,security,dedicated
6,HISTORICAL_DB,HISTORICAL_DB,HistoricalDatabaseType,history,dedicated
7,SCADA,SCADA,,,
8,,HISTORY,,,
9,SIM_ITEM,SIM_ITEM,SimulationSignalType,data_items,dedicated
10,IEC60870_LINK,IEC_LINK,Iec60870LinkType,iec60870,device
11,IEC60870_DEVICE,IEC_DEV,Iec60870DeviceType,iec60870,device
12,MODBUS_PORTS,MODBUS_PORTS,ModbusLinkType,modbus,device
13,,DEVICES,,,
14,TS_FORMAT,TS_PARAMS,TsFormatType,data_items,dedicated
15,SERVER_PARAMS,SERVER_PARAMS,,,
16,IEC60870_TRANSMISSION_ITEM,IEC_TRANSMIT,Iec60870TransmissionItemType,iec60870,device
17,IEC61850_DEVICE,IEC61850_DEV,Iec61850DeviceType,iec61850,device
18,IEC61850_RCB,IEC61850_RCB,Iec61850RcbType,iec61850,device
19,,FILESYSTEM,,filesystem,module
20,,DATA_ITEMS,,,
21,,SECURITY,,,
22,,IEC61850_SERVER,,,
23,ALIAS,ALIAS,,,
24,FILESYSTEM_FILE,FILESYSTEM_FILE,,filesystem,module
25,OPC,OPC,,opc,module
26,MODBUS_TRANSMISSION_ITEM,MODBUS_TRANSMIT,ModbusTransmissionItemType,modbus,device
27,IEC61850_TRANSMISSION_ITEM,IEC61850_TRANSMIT,Iec61850TransmissionItemType,iec61850,device
28,VIDICON,VIDICON,,vidicon,module
29,VIDICON_FILE,VIDICON_FILE,,vidicon,module
30,ROLE,ROLE,RoleType,security,dedicated
31,ROLE_IDENTITY,ROLE_IDENTITY,IdentityMappingRuleType,security,dedicated
32,CONFIGURATION,CONFIGURATION,ConfigurationType,security,dedicated
33,HISTORICAL_CONFIG,HISTORICAL_CONFIG,HistoricalDataConfigurationType,history,dedicated
